shipment_id,stop_id,time spent,max,min,count,lon,lat,% of distance covered,address,name,distance,% of journey covered,# of stops,% of distance covered by stop 1,miles remaining to dest after stop 1,% of distance covered by stop 2,miles remaining after stop 2,Time in stop 1,Time in stop 2,Red Zone ?
sensitech-AD94320,6,19.93333333,19.9,19.9,1.0,-93.3970257,33.82885,70.63977078,"116 Ron Herrod Rd, Prescott, AR 71857","Love's Travel Stop, Prescott, AR",514.963929,70.63977078,2,23.1% - 167 miles,562 miles,70.64% - 514 miles,215 miles,21,60,No
sensitech-AD94320,7,39.8,39.8,17.6,2.0,-93.0706564,34.1869041,66.59004466,"170 Valley St, Caddo Valley, AR 71923","Pilot Travel Center, Caddo Valley, AR",485.4414256,66.59004466,2,20.78% - 145 miles,584 miles,66.69% - 486 miles,243 miles,20,38,Yes
sensitech-AE15050,2,17.63333333,39.8,17.6,2.0,-93.0706564,34.1869041,66.59004466,"170 Valley St, Caddo Valley, AR 71923","Pilot Travel Center, Caddo Valley, AR",485.4414256,66.59004466,2,48.51% - 353 miles,376 miles,66.59% - 485 miles,244 miles,30,60,Yes
sensitech-AE15050,22,38.96666667,39.0,39.0,1.0,-92.12764,34.7861337,57.32104578,"11801 I 40 Fwy, North Little Rock, AR 72117","Love's Travel Stop, North Little Rock, AR",417.8704237,57.32104578,2,37.19% - 277 miles,452 miles,57.32% - 417 miles,312 miles,40,20,No
sensitech-AE25834,9,38.81666667,38.8,37.7,2.0,-90.9075093,34.9866579,48.51242688,"1010 N Main St, Palestine, AR 72372","Love's Travel Stop, Palestine,, AR",353.655592,48.51242688,2,25.35% - 174 miles,555 miles,48.51% - 353 miles,376 miles,40,37,No
sensitech-AE25841,4,37.68333333,38.8,37.7,2.0,-90.9075093,34.9866579,48.51242688,"1010 N Main St, Palestine, AR 72372","Love's Travel Stop, Palestine,, AR",353.655592,48.51242688,2,48.51% - 353 miles,376 miles,66.59% - 485 miles,244 miles,30,60,Yes
sensitech-AE4081,5,24.91666667,59.6,24.9,4.0,-90.1411843,35.1568874,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301","Pilot Travel Center, West Memphis, AR",312.549059,42.87367064,2,23.1% - 167 miles,562 miles,42.87% - 312 miles,417 miles,17,38,No
sensitech-AE4081,22,35.16666667,59.6,24.9,4.0,-90.1411843,35.1568874,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301","Pilot Travel Center, West Memphis, AR",312.549059,42.87367064,2,31.58% - 230 miles,499 miles,42.87% - 312 miles,417 miles,25,35,No
sensitech-AE4088,22,59.61666667,59.6,24.9,4.0,-90.1411843,35.1568874,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301","Pilot Travel Center, West Memphis, AR",312.549059,42.87367064,2,25.35% - 182 miles,547 miles,42.87% - 312 miles,417 miles,30,60,No
sensitech-AE50975,4,29.46666667,59.6,24.9,4.0,-90.1411843,35.1568874,42.87367064,"1100 Martin Luther King Jr Dr #6, West Memphis, AR 72301","Pilot Travel Center, West Memphis, AR",312.549059,42.87367064,2,25.35% - 174 miles,555 miles,42.87% - 312 miles,417 miles,22,52,No
sensitech-AE50975,9,59.53333333,59.5,59.5,1.0,-89.4129913,35.3903866,37.18826024,"7720 TN-222, Stanton, TN 38069","Pilot Travel Center, Stanton, TN",271.1024172,37.18826024,2,37.19% - 277 miles,452 miles,57.32% - 417 miles,312 miles,40,20,No
sensitech-AE57688,2,21.4,21.4,21.4,1.0,-88.7446349,35.6792344,31.57795056,"2050 Hwy 70 E, Jackson, TN 38305","Love's Travel Stop, Jackson, TN",230.2032596,31.57795056,2,31.58% - 230 miles,499 miles,42.87% - 312 miles,417 miles,25,35,No
sensitech-AE57688,8,60.23333333,60.2,60.2,1.0,-87.8039662,35.8823776,25.35099475,"15561 TN-13 S, Hurricane Mills, TN 37078","Pilot Flying J Truck Care, Hurricane Mills",184.8087517,25.35099475,2,25.35% - 174 miles,555 miles,42.87% - 312 miles,417 miles,22,52,No
sensitech-AE7550,22,52.65,52.7,22.3,2.0,-87.4890382,35.9919004,23.09581223,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN ",168.3684712,23.09581223,2,23.1% - 167 miles,562 miles,42.87% - 312 miles,417 miles,17,38,No
sensitech-AE7550,26,22.33333333,52.7,22.3,2.0,-87.4890382,35.9919004,23.09581223,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN ",168.3684712,23.09581223,2,23.1% - 167 miles,562 miles,70.64% - 514 miles,215 miles,21,60,No